questao1,questao2,questao3,questao4,questao5,questao6,questao7,questao8,questao9,questao10,Semestre,Turma
1,1,1,2,1,2,2,1,2,2,8,b
2,M,M,M,M,M,2,M,3,1,8,b
,,,,,,,,,,8,b
,M,,2,2,5,,,,,8,b
1,3,1,2,2,5,,,,1,8,b
,2,,,,2,,,,1,8,b
2,2,1,4,4,1,1,1,3,1,8,b
2,2,1,4,2,5,4,1,2,1,8,b
1,2,1,5,5,4,5,,5,4,8,b
1,2,1,2,2,4,1,1,1,1,8,b
1,2,1,2,2,1,2,1,1,1,8,b
1,3,1,5,5,5,2,1,1,1,8,b
2,2,1,3,3,3,,1,3,1,8,b
2,1,1,5,2,5,5,1,2,1,8,b
1,2,1,2,1,5,1,1,2,1,8,b
1,1,1,4,4,5,1,1,3,1,8,b
1,,1,2,,5,,2,,1,8,b
2,3,1,4,4,4,2,1,2,1,8,b
