"ID","1  1","2  1","3  1","4  1","5  1","6  1","7  1","8  1","9  1","x10  1"
"0","1","1","1","2","1","4","2","2","2","2"
"1","2","1","2","1","1","2","2","3","1","2"
"2","1","1","1","1","3","5","2","2","1","1"
"3","1","1","1","1","1","3","3","3","M","3"
"4","1","1","1","1","1","3","3","3","3","3"
"5","1","1","1","2","1","2","2","2","2","2"
"6","4","1","2","3","3","3","3","3","3","3"
"7","1","3","2","1","1","3","3","3","3","3"
"8","3","3","1","2","1","2","1","2","1","2"
"9","3","3","1","2","1","4","1","4","1","2"
"10","3","3","1","2","1","2","1","2","2","1"
"11","2","3","1","1","1","2","2","4","1","2"
"12","3","3","1","2","1","5","1","2","1","2"
"13","3","2","1","2","1","2","2","2","1","2"
"14","3","3","2","3","1","2","1","1","2","1"
"15","2","3","1","3","1","2","1","2","1","2"
"16","4","1","1","2","1","4","2","3","1","2"
"17","3","3","2","3","1","4","1","3","1","1"
"18","2","3","1","2","1","4","2","2","1","1"
"19","1","1","1","1","1","4","2","3","1","2"
"20","2","3","1","3","1","4","2","2","2","2"
"21","3","","2","","1","5","","4","","4"
"22","3","2","1","4","1","5","1","4","1","4"
"23","3","3","1","1","1","2","1","2","2","2"
"24","3","2","2","2","1","2","2","2","1","2"
"25","2","3","1","3","1","4","2","2","1","2"
"26","2","3","2","M","1","3","5","5","2","2"
"27","2","3","2","1","2","4","4","4","4","2"
