"ID","1  1","10  1","2  1","3  1","4  1","5  1","6  1","7  1","8  1","9  1"
"0","3","2","3","1","4","2","5","4","3","1"
"1","1","4","2","1","3","1","5","M","5","1"
"2","1","","1","1","1","3","","","",""
"3","3","2","3","1","1","2","5","2","4","1"
"4","3","2","3","1","4","3","3","5","5","1"
"5","3","3","3","1","2","2","3","3","3","3"
"6","2","3","3","2","1","1","3","3","3","3"
"7","2","3","3","1","3","1","4","2","4","4"
"8","1","4","1","1","1","2","5","2","4","1"
"9","3","2","2","1","3","1","4","1","2","1"
"10","1","4","3","1","2","3","4","1","4","1"
"11","4","3","2","1","3","1","3","3","3","3"
"12","1","4","3","2","2","1","4","2","4","1"
"13","2","M","3","2","2","1","5","3","3","3"
"14","3","2","2","1","2","1","2","1","2","1"
"15","3","1","2","2","4","2","4","1","1","1"
"16","3","3","3","1","2","2","3","3","3","3"
"17","3","2","3","2","2","1","4","2","4","1"
"18","4","","","2","","","3","1","",""
"19","1","3","1","1","1","1","3","3","3","3"
"20","3","2","3","1","4","1","5","2","4","1"
"21","4","2","3","1","2","1","5","4","5","1"
"22","3","4","2","1","2","1","5","1","4","1"
"23","4","3","1","2","2","2","3","3","3","3"
"24","1","3","3","2","3","3","3","3","4","1"
"25","3","3","2","2","3","2","3","3","3","3"
"26","3","5","3","2","3","2","5","4","4","1"
"27","4","","1","2","1","2","","4","",""
"28","3","","2","1","2","1","","","",""
"29","2","2","3","2","2","1","","4","4",""
"30","3","2","3","1","2","1","3","3","3","4"
"31","3","M","3","2","2","1","3","3","3","3"
"32","3","3","2","1","1","1","3","3","3","3"
"33","4","2","3","1","4","1","4","4","4","2"
"34","1","2","3","1","1","1","4","2","2","2"
"35","3","","3","2","1","2","","","",""
"36","3","3","3","2","2","1","3","3","3","3"
"37","3","3","3","1","2","1","4","3","4","2"
"38","3","1","3","1","4","1","2","1","2","4"
"39","3","4","3","2","1","1","5","1","2","1"
"40","3","3","2","2","1","1","4","3","3","3"
"41","3","3","2","1","2","1","3","3","3","3"
"42","3","3","2","1","1","1","2","2","2","2"
"43","4","3","1","1","3","1","2","3","3","3"
"44","2","2","3","1","2","2","2","2","2","1"
"45","3","2","3","1","3","1","5","1","4","1"
