"ID","1  1","10  1","2  1","3  1","4  1","5  1","6  1","7  1","8  1","9  1"
"0","4","2","1","1","2","1","4","2","2","1"
"1","3","1","3","1","2","1","2","2","2","1"
"2","1","2","1","2","1","1","","2","4","1"
"3","4","4","M","1","2","2","2","2","2","2"
"4","3","2","2","2","2","1","4","1","1","1"
"5","3","2","2","1","3","1","4","2","2","1"
"6","2","2","3","1","3","1","2","1","2","1"
"7","4","2","3","1","2","1","4","1","2","1"
"8","3","2","2","1","2","1","2","M","1","2"
"9","3","2","3","1","2","1","2","1","2","2"
"10","4","2","3","1","4","1","2","2","2","2"
"11","3","1","2","1","2","1","4","1","1","4"
"12","2","2","3","1","4","1","","2","2","1"
"13","3","2","3","1","2","1","4","1","3","1"
"14","","","","","","","","1","",""
"15","3","2","3","1","3","1","5","2","2","1"
"16","3","1","2","1","2","1","2","1","2","2"
"17","3","4","3","1","3","1","5","2","2","1"
"18","3","2","3","1","4","1","4","1","2","2"
"19","3","2","3","1","2","1","4","1","2","2"
"20","3","2","3","1","2","1","4","1","2","2"
"21","3","","3","1","3","1","2","3","4","2"
"22","3","2","3","2","2","1","","2","","2"
"23","4","2","1","1","4","1","2","1","1","2"
"24","3","2","2","1","2","1","4","1","4","2"
"25","3","2","3","1","1","2","4","4","3","2"
"26","3","2","3","2","3","1","5","1","4","M"
"27","3","2","3","1","1","1","5","1","1","4"
"28","3","2","","","4","","","4","","2"
"29","3","1","2","1","M","1","2","1","2","1"
"30","3","1","3","1","1","1","4","2","3","1"
"31","3","1","2","1","4","1","4","1","2","2"
"32","2","3","3","1","3","2","3","3","2","1"
"33","3","2","3","1","2","1","2","M","1","1"
"34","3","2","2","1","2","2","4","4","1","1"
"35","3","2","2","1","1","1","4","4","2","1"
"36","1","2","3","2","2","1","2","4","4","2"
"37","3","1","2","1","2","1","2","1","1","2"
"38","2","1","2","1","1","1","3","3","1","1"
"39","4","4","","1","1","1","5","1","4","1"
"40","3","2","3","2","1","1","4","1","4","4"
"41","1","2","1","1","2","2","4","2","4","2"
"42","1","1","1","1","2","1","2","1","2","1"
